Cleaned_Text,Language
kositany pia amekashifu mvutano katika chama cha jubilee,Kiswahili
amesema kuwa siasa za humu nchini zinaweza kubadilika na raila odinga kuungana na wiliiam ruto katika uchaguzi wa,Kiswahili
who imesema kuwa utafiti umeanza kuhusu chanjo ya astra zeneca,Kiswahili
chanjo hiyo inasemekana imeleta matatizo kwa watu katika baadhi ya mataifa,Kiswahili
kamiti ya who ambayo inachunguza na kupeana maoni kuhusu chanjo hiyo kwa mataifa ya nje imesema kuwa manufaa ya chanjo hiyo ni mengi kuliko hasara zake hivyo basi chanjo hiyo inafaa itumike,Kiswahili
wataalamu wa sayansi wanasema kuwa chanjo hiyo haiwezi kuua hata hivyo bado haijabainika kilichowaua,Kiswahili
mwenyekiti wa kamati hiyo ronald rono amesema kuwa ripoti ya hospitali ya kabarnet haijabaini iwapo walezi wa watoto hao ndio waliowaua,Kiswahili
zaidi ya hayo inasemekana kuwa wanafunzi walio nyanjani wa kmtc ndio walipandisha joto katika eneo hilo ambalo watoto waliozaliwa kabla siku zao zifike walikuwa,Kiswahili
huenda kupandishwa kwa joto ndio iliwaua watoto hao,Kiswahili
ripoti ya kamati hiyo haijadhibitisha maelezo hayo,Kiswahili
rono amesema utafiti zaidi utaendelea huku akisema kuwa wananchi wa huko wamekuwa wakilalmika kuhusu kituo hicho cha matibabu,Kiswahili
kituo hicho cha afya kimekanusha vikali ripoti kuwa watoto hao walikuwa wakifanyiwa ulinzi na madaktari walio nyanjani,Kiswahili
gavana wa kakamega oparanya na yule wa bungoma wangamati wameongoza shughuli ya kupeana chanjo katika kaunti zao,Kiswahili
akizungumza katika hospitali ya rufaa ya bungoma alikokuwa akipokea chanjo wangamati amesema kuwa chanjo hiyo ni salama,Kiswahili
wangamati pia amewasihi wahudumu wa afya kujitokeza na kupokea chanjo hiyo,Kiswahili
kwa upande wake waziri wa afya katika kaunti ya bungoma olela amesema kuwa kaunti hiyo ilipokea chanjo elfu sita katika awamu ya kwanza huku awamu ya pili ikisubiriwa katika kipindi kifupi,Kiswahili
katika kaunti ya kakamega mambo yalianza shwari huku gavana wa kakamega akioikea chanjo hiyo wa kwanza oparanya alisema alichukua hatua hiyo kutoa woga kwa wakaazi wa huko,Kiswahili
waendeshaji bodaboda kule karatina wamewaua washukiwa wawili wakisema kuwa watu hao waliwaua waendeshaji pikipiki sita katika kipindi kifupi kilichopita,Kiswahili
ripoti kutoka karatina inasema kuwa waendeshaji bodaboda hao waliwatoa washukiwa hao watatu hospitalini na kuwapiga wawili hadi kufa huku mmoja akiponyoka na majeraha makali,Kiswahili
waendeshaji bodaboda hao waliwazidi nguvu maafisa wa polisi waliokuwa wakiwalinda wagonjwa hao pamoja na mlinzi wa hospitali hiyo,Kiswahili
maafisa wa polisi waliwaokoa washukiwa hao mwezi wa tisa mwaka wa mbele ya wananchi waliokuwa na ghadhabu baada ya kushukiwa kuwaua waendeshaji bodaboda,Kiswahili
waendeshaji pikipiki katika kaunti ya kirinyaga walimtoa mshukiwa mmoja hospitalini alikokuwa akitibiwa,Kiswahili
waendeshaji hao walimtoa katika hospitali fulani mjini kerugoya na kumuua papo hapo,Kiswahili
wakaazi wa migori na kenya kwa jumla wameshauriwa kutumia vituo vya kupokea mafunzo yanayojengwa na serikali ipasavyo,Kiswahili
ripoti hii ilipeanwa na mkurugenzi mkuu wa kenya pipeline akizungumza katika shule ya msingi ya komondi katika kaunti ndogo ya rongo,Kiswahili
amesema kuwa vituo hivyo vya kiufundi havifai kukaa bure huku akiishukuru shule hiyo kwa kutumia fedha vizuri katika ujenzi,Kiswahili
ameiomba uongozi wa kaunti ya migori kufanya kazi na wakaazi wa huko kusuluhisha changamoto zao huku akisema watahiniwa watafanya vyema katika mtihani wao,Kiswahili
kambi hiyo ilipeleka maendeleo kama vile ujenzi wa ofisi ujenzi wa maabara ya kisasa ya tarakilishi tangi mbili zenye lita elfu kumi pamoja na mengine ambayo iligharimu milioni tano,Kiswahili
sherehe hiyo ilihudhuriwa na wakuu katika kaunti ya migori,Kiswahili
wakuu hao walikuwa pamoja na katibu wa kaunti hiyo christopher rusana pamoja na meneja wa eneo hilo la rongo ochieng ambaye alisimama kwa niaba ya mbunge paul abuor,Kiswahili
washukiwa wawili waliokamatwa kisumu mashariki na kosa la kuharibu transfoma katika shule ya msingi ya kadiju wamefikishwa mahakamani,Kiswahili
washukiwa hao nahashon oiko na josiah otieno wamekuwa wakizuiliwa katika kituo cha polisi cha kondele,Kiswahili
hii ni baada ya kukamtwa na kosa la kuharibu transfoma lenye thamani ya mia tatu tisini na mbili elfu,Kiswahili
hili ni wizi walilotekeleza katika shule ya kadiju tarehe sita mwezi wa kumi na mbili mwaka wa elfu mbili ishirini na mbili,Kiswahili
walishtakiwa pia kwa kosa lakuharibu transfoma katika eneo la anyuru na kobura yenye thamani ya elfu mia nne na elfu mia mbili mtawalia,Kiswahili
walikanusha mashtaka hayo huku korti ikisema waachiliwe kwa dhamana ya shilingi milioni mbili kila mmoja au pesa taslimu milioni moja,Kiswahili
kesi hiyo itasomwa tena tarehe thelathini mwezi huu huku ikisikilizwa tarehe kumi na tano mwezi wa sita mwaka huu,Kiswahili
vita dhidi ya mimba za mapema mjini kisumu bado imekumbwa na changamoto si haba,Kiswahili
gladys akinyi amesema kuwa iwapo mikakati kabambe haitawekwa bado vita dhidi ya mimba za mapema haitazaa matunda,Kiswahili
alieleza jinsi alivyopachikwa na mimba akiwa mdogo na kuwa mzazi katika umri mdogo,Kiswahili
peter okoyo ambaye ni babake gladys alisema kuwa wazazi hawafai kudharauliwa wanao wakipata mimba,Kiswahili
hii inafanyika wakati ambapo aliwasihi wasichana kufanya mambo ambayo yanaweza kuwasaidia ma kijitenga na mapenzi,Kiswahili
mkaazi wa kaunti ya kisumu grace wairimu amesema kuwa vijana wanafaa kuelimishwa ili wajiepushe na tendo la ndoa kabla wahitimu umri unaofaa,Kiswahili
balozi wa tanzania nchini libya modestus kiplimba amekashifu uvumi unaoendelea kuwa rais wa nchi hiyo maghufuli amefariki,Kiswahili
amesema maisha ya maghufuli yako sawa na yuko nchini tanzania anakoendelea na kazi,Kiswahili
amesema haya siku mbili tu baada ya kiongozi wa upinzani kusema kuwa hali ya maghufuli i taabani,Kiswahili
maghufuli aliambukizwa ugonjwa wa korona na amekuwa akipokea matibabu nchini kabla ya kusafirishwa hadi india kwa matibabu zaidi,Kiswahili
siku chache zilizopita kuna kituo cha habari kilioa ripoti kuwa kuna rais fulani anayehudumiwa humu nchini,Kiswahili
wanafunzi wa kidato cha nne wanaanza rasmi mtihani wa kitaifa hapo kesho,Kiswahili
muungano wa umoja wa wakenya almaarufu one kenya alliance wanapanga mkutano na wakenya,Kiswahili
mtu mmoja amefariki katika ajali ya barbarani mjini kendubay,Kiswahili
askari wa kaunti ya kisumu walioonekana wakimvuta mchuuzi mmoja wa kike katika kaunti ya kisumu wamekamatwa,Kiswahili
watu ishirini na sita wamekufa kutokana na ugonjwa wa korona katika masaa ishirini na nne yaliyopita,Kiswahili
watu wamepatwa na ugonjwa wa korona kwa watu waliopimwa,Kiswahili
wakati huo huo wizara ya afya imesema kuwa wananchi wenye umri wa miaka hamsini na nane kuendelea wapewe chanjo hiyo,Kiswahili
katika ujumbe kwa vituo vya habari mwenyekiti wa tume inayohakikisha kuwa wananchi wanapata chanjo amesema hivyo,Kiswahili
daktari willis akwale amesema kuwa watu wenye umri wa miaka wako katika nafasi ya juu kupata virusi hivyo akisema kuwa ni asilimia sitini ya walioambukizwa,Kiswahili
wizara ya afya pia imewasihi wanasiasa wanaohubiri pamoja na viongozi kuwa waende wapokee chanjo dhidi ya korona,Kiswahili
hii ikiwa ni njia ya kuwapa motisha wananchi pamoja na wale walio katika hatari ya juu kupokea chanjo hiyo,Kiswahili
mtihani wa kitaifa wa kcse utaanza rasmi hapo kesho,Kiswahili
baadhi ya walimu wakuu wamesema kuwa mikakati ipasavyo tayari imeshawekwa,Kiswahili
wanafunzi hao wa kidato cha nne kesho wataanza na karatasi ya kiingerez ya kwanza,Kiswahili
sheria za kupunguza usambazaji wa korona zitafuatwa wakati wa mtihani huo,Kiswahili
chama cha odm kimesema kuwa wanapanga kutengeneza muungano wa kisiasa baada ya kura za maoni,Kiswahili
katibu mkuu wa chama hicho edwin sifuna amesema kuwa muungano huo utajumulisha vijana pamoja nawale walio na malengo mazuri kwa taifa la kenya,Kiswahili
one kenya alliance iliundwa na viongozi wa ancwiper kanu pamoja na ford kenya,Kiswahili
muungano huo wa one kenya alliance umesema kuwa utaanza kuandaa mkutano baada ya ugonjwa wa korona kupungua humu nchini,Kiswahili
wamesema kuwa wanaunga mkono mageuzi ya sheria yaliyo katika bbi haya yalisemwa na moses wetangula,Kiswahili
kiongozi wa kanu gideon moi amesema kuwa wazolao kuu ni kuhakikisha kuwa siasa za kiukabila zinakomeshwa,Kiswahili
mawazo ya moi yaliungwa mkono na kiongozi wa anc musalia mudavadi,Kiswahili
kiongozi wa anc musalia mudavadi amekashifu kutimuliwa kwa seneta cleophas malala kama kiongozi wa wachache bungeni akisema kuwa chama cha odm kinadharau vyama tanzu vya nasa,Kiswahili
wakimbizi wanaoishi katika kambi za daadab na kakuma wameiomba serikali kubadili wazo la kufunga kambi hizo,Kiswahili
wamesema kuwa kufungwa kwa kambi hizo kutawarudisha katika taabu pamoja na uvamizi kutoka somalia,Kiswahili
viongozi kutoka maeneo ya kaskazini mashariki wameiomba serikali kuangalia njia ya kuwasaidia wakimbizi hao bali siyo kuwafukuza,Kiswahili
viongozi mbalimbali pia wameunga mkono wazo hilo,Kiswahili
seneta wa bungoma moses wetangula amesema kuwa wakimbizi ni waliokimbia taabu za kwao na kuwarejesha kwao ni kuwafanyia vibaya zaidi,Kiswahili
asilimia sitini ya wakenya wanapanga uzazi,Kiswahili
hii ni kutokana na utafiti uliofanywa katika kaunti kumi na moja na shirika la perfomance monitoring for action,Kiswahili
utafiti huo pia umegundua mimba za kutopangwazimepungua kutoka asilimia hadi,Kiswahili
profesa peter gitangi ambaye ni mkuu wa idara hiyo amesema kuwa wanawake wengi wanapanga uzazi kwa njia ya kuweka vifaa katika miili yao almaarufu implants,Kiswahili
mtu mmoja amefariki huku wanne wakikimbizwa hospitalini katika eneo la gendia baada ya gari aina ya trela kuwagonga,Kiswahili
trela hiyo pia iligonga pikipiki nne na gari la probox kando ya barabara,Kiswahili
askari wa kaunti ya kisumu walioonekana wakimvuta mchuuzi mmoja wa kike katika kaunti ya kisumu wamekamatwa,Kiswahili
kushikwa kwao kunatokana na uzito uliowekwa mjini kisumu leo na watetezi wa haki za binadamu,Kiswahili
wakiongozwa na bonny akatch walisema kuwa kusimamishwa kazini tu haitoshi,Kiswahili
wamesema kuwa kiongozi wao anafaa kujiuzulu,Kiswahili
hii inafanyika wakati ambapo viongozi mbalimbali kisumu wanakashifu askari wa kaunti kwa jinsi wanavyodhulumu wachuuzi,Kiswahili
mheshimiwa abala wanga amewasihi watetezi wa haki na viongozi kuwapa muda ili uchunguzi zaidi ufanywe kuhusiana na tukio hilo,Kiswahili
wizara ya afya imeshauriwa kusambaza dawa za kupambana na virusi vya ukimwi kwa waathiriwa,Kiswahili
bwana austine obiero ni mwathiriwa wa virusi hivyo kutoka maeneo ya nyahera amejitokeza kuwaelimisha wananchi kutokana na virusi vya ukimwi,Kiswahili
siku mja baada ya dunia kuadhimisha sikun ya ugonjwa wa kifua kikuu duniani amejitokeza na kuwaambia waathiriwa wa ugonjwa wa ukimwi kujua pia hali yao kifua kikuu,Kiswahili
hali ya usalama imekuwa tisti katika kijiji cha chato mkoa wa geita ambako sherehe hiyo itaandaliwa,Kiswahili
leo hii wakaazi wa chato walipata nafasi ya kuona mwili wa mwendazake maghufuli katika uga wa maghufuli,Kiswahili
wananchi wa mataifa mbalimbali wanatarajiwa kuhudhuria sherehe hiyo,Kiswahili
amri ya kutotoka nje imeongezwa kwa siku sitini huku mikutano ya siasa ikisitishwa kwa siku thelathini,Kiswahili
naibu wa rais william ruto amesitisha mikutano yote ya kisiasa aliyokuwa amepanga,Kiswahili
chanjo ya korona imeidhinishwa rasmi katika kaunti ya siaya,Kiswahili
marekani ina nia ya kumaliza virusi vya korona,Kiswahili
rais uhuru kenyatta ameongeza mkataa wa kutotoka nje almaarufu curfew kwa siku sitini,Kiswahili
rais kenyatta vilevile amesitisha mikutano yote ya siasa,Kiswahili
amesema kuwa sheria hizi zitaanza rasmi leo,Kiswahili
rais pia ametoa sheri kudhibiti wanaofika kwenye harusi mazishi na kadhalika,Kiswahili
amesema kuwa ni watu mia moja tu wanaoruhusiwa kufika katika mikutano hiyo,Kiswahili
watakaoaga dunia watazikwa baada ya saa sabini na mbili,Kiswahili
rais ametoa amri kwa maafisa wa polisi kuhakikisha kuwa sheria zote zinafuatwa,Kiswahili
sheria hizo zimewekwa kudhibiti ugonjwa wa korona,Kiswahili
serikali pia itaunda tume ya kudhibiti ugonjwa wa korona,Kiswahili
rais kenyatta alisema kuwa kamati hiyo itaongozwa na magavana pamoja na makamishna wa kaunti,Kiswahili
kamiti hiyo itakutana kila wiki kuangalia iwapo wananchi wanafuata sheria za korona,Kiswahili
alizungumza wakati ambapo watu walipatwa na ugonjwa wa korona huku wakipimwa na wawili wakiaga dunia wakati huo huo,Kiswahili
amewaomba wakenya kupokea chanjo dhidi ya korona,Kiswahili
wakati huo huo aliwahakikishia watahiniwa wa kidato cha nne na nane hali shwari watakapofanya mtihani hata ingawa nchi inakabiliana na ugonjwa wa korona,Kiswahili
naibu wa rais william ruto amesitisha mikutano yote ya kisiasa aliyokuwa amepanga,Kiswahili
kupitia mtandao wake wa twitter ruto amesema hiyo ni kutokana na idadi ya wanaopata ugonjwa wa korona kila siku,Kiswahili
pia amesema amechukua hatua hiyo kutokana na sheria za rais za kusitisha mikutano yote ya siasa,Kiswahili
leo hii ruto alikuwa katika eneo bunge la funyula kaunti ya busia alikoendesha kampeini yake kuwainua wale wenye mapato ya chini,Kiswahili
kwa upande mwingine aliwakashifu wanasiasa wanaopanga kumpinga katika uchaguzi mkuu ujao,Kiswahili
alisema kuwa miungano ya kisiasa haifai kuundwa kutokana na makabila ambayo wanasiasa wanatoka,Kiswahili
wakaazi wa machakos wamwshauriwa kumpigia kura agnes kavindu wa wier katika uchaguzi mdogo wa seneti kaunti hiyo,Kiswahili
kiongozi wa chama cha wiper amesema kuwa bi kavindu anaweza kuwaongoza vyema,Kiswahili
kiongozi wa ford kenya moses wetangula amesema kuwa kavindu atatwaa kiti hicho jinsi walivyotwaa kiti cja kabuchai na matungu,Kiswahili
mheshimiwa mike sonko ameambiwa apumzike kwa kipindi cha siku kumi na nne,Kiswahili
mawakili wake wakiongozwa na khaminwa wamemwambia kiongozi wa mashtaka kuwa madaktari wamemwagiza sonko kupumzika kwa siku kumi na nne,Kiswahili
hii inamaanisha kuwa hatafika kortini jumanne wiki ijayo kuhusu kesi inayomkabili ya milioni kumi na nne,Kiswahili
wakila ameeleza kuwa maafisa hao ni wa afya wa hospitali za umma na za kibinafsi katika kaunti ya siaya,Kiswahili
amesema kuwa chanjo hiyo itasaidia kukinga maisha ya wakenya wakati huu ambapo ugonjwa huo umeingia katika awamu ya tatu humu nchini,Kiswahili
akizungumza wakati wa kuidhinisha rasmi chanjo hiyo wakila alisema kuwa baada ya kuwapa chanjo wahudumu wa afya watawapa chanjo maafisa wa usalamawalimuviongozi wa makanisa pamoja na wale wanaopeana huduma za dharura,Kiswahili
james okumbe ambaye ni naibu wa gavana wa siaya na wa kwanza kupokea chanjo hiyo katika kaunti hiyo alisema kaunti ya siaya imepokea chanjo laki tatu huku wakingoja zaidi,Kiswahili
anmewasihi wananchi kuendelea kuzingztia sheria za korona,Kiswahili
wanachama wa ford kenya kutoka maeneo ya nyanza wamesema watamuunga mkono mukhisa kituyi katika azma yake ya kuwania urais,Kiswahili
wamesema kuwa viongozi ambao wamekuwa wakiunga mkono hujiondoa hata kabla ya uchaguzi kufika,Kiswahili
mwenyekiti wa ford kenya mjini kisumu phelix minda amesema kuwa moses wetangula siyo kiongozi wao,Kiswahili
pia amesema kuwa wamemuidhinisha mheshimiwa eseli simiyu kama katibu wao,Kiswahili
uongozi wa wanawake kupitia maendeleo ya wanawake imeanza kuwagawa wanawake matangi ya kuhifadhi maji humu nchini,Kiswahili
amesema kuwa maji huwa mengi wakati wa mvua na kiangazi kikija wanawake huhangaika wakitafuta maji,Kiswahili
bi owino amesema kuwa matangi hayo yatawasaidia wanawake kuhifadhi maji safi,Kiswahili
amewasihi wanawake kujiunga na mashirika ambayo yanaweza kuwasaidia kama hayo,Kiswahili
rais biden ana matumaini kuwa kufikia tarehe ya kusherehekea siku ya kupata uhuru nchini humo ambayo ni tarehe nne mwezi wa saba marekani itakuwa imemaliza vita dhidi ya korona,Kiswahili
amewasomba raisa wa marekani kuendelea kutii sheria za korona,Kiswahili
biden alizungumza mwaka mmoja baada ya virusi vya korona kuvamia nchi hiyo,Kiswahili
katika kaunti arubaini tangu chanjo hiyo ianze kupeanwa,Kiswahili
wakati huo huo watu saba wamepoteza maisha yao katika masaa ishirini na manne yaliyopita,Kiswahili
hii inafikisha idadi ya wale walioangamia kwa virusi vya korona hadi elfu moja mia tisa na nane,Kiswahili
hii imefikisha idadi ya wale walioambukizwa humu nchini hadi,Kiswahili
kesi za lazima ambazo zimekuwa zikiendelea katika mahakama ya mavoko zimepelekwa hadi mahakama ya juu ya machakos baada ya mahakama hiyo kufungwa,Kiswahili
jaji mkuu mshikilizi philomena mwilu amesema kuwa bado wanafanya uchunguzi katika korti ya kathimani kuhusiana na watu kumi na sita kuathirika na virusi vya korona,Kiswahili
maafisa wa polisi wamemshika mwanamke mmoja aliyenaswa katika kanda ya video akiwadunga kwa kisu watoto wawili wa mwajiri wake,Kiswahili
gladys naliaka ambaye ni mjakazi alishikwa katika kituo cha kuabiri gari cha eldoret akipanga kuhamia uganda,Kiswahili
maafisa wapolisi wamesema kuwa naliaka alishikwa na vitambulisho viwili tofauti,Kiswahili
kutotii sheria itafanya ugonjwa wa korona urejee humu nchini,Kiswahili
vijana ambao tayari wamehitimu hawafai kusubiri kuajiriwa,Kiswahili
amesema kuwa serikali ina mipango ya kilimo ambayo itasaidia kuwapa pesa na chakula,Kiswahili
alizungumza akiwa tharaka nithi ambapo serikali tayari imeanza mipango ya unyunyizaji maji mashambani,Kiswahili
wanasiasa ambao wanapinga makubaliano baina ya uhuru na raila almaarufu handshake wamekashifiwa kuwa hawapendi amani nchini,Kiswahili
seneta wa homabay moses kajwang amesema kuwa makubaliano ya handshake imeleta amani humu nchini,Kiswahili
amewaambia wafanyikazi wa serikali kutoingilia siasa akisema kuwa inazuia serikali kutimiza ahadi zake kwa wananchi,Kiswahili
mheshimiwa kajwang amesema kuwa kuja pamoja kwa uhuru na raila imesaidia sana kuleta amani humu nchini,Kiswahili
maafisa wa polisi nchini urusi wamewakamata raia mia mbili ambao walikua katika mkutano wa kupinga serikali kuu huko urusi,Kiswahili
watu hao walishikwa mkutano ulipokuwa ukianza katika hoteli moja mjini moscow,Kiswahili
maafisa wa polisi wamesema kuwa raia hao walivunja sheria za kupambana na korona,Kiswahili
kushikwa kwa jamaa hao inakuja wakati ambapo serikali ya urusi imekuwa ikiwakamata raia wanaopinga serikali uchaguzi mkuu unapokaribia,Kiswahili
mwezi jana kiongozi wa upinzani alexei navalny alitiwa mbaroni,Kiswahili
wizara ya afya imetoa amri kuwawatu wenye umri wa miaka hamsini na nane kuendelea wapokee chanjo ya korona,Kiswahili
katika ujumbe kwa vyombo vya habari msimsmizi mkuu wa kutoa chanjo hizo willis akhwale alisema hivyo,Kiswahili
willis alisema kuwa watu hao walio na umri wa miaka ni asilimia sitini ya wale walioambukizwa virusi vya korona,Kiswahili
wizara ya afya imetoa ombi kwa wanasiasawahubiri pamoja na viongozi wa wananchi kupokea chanjo hiyo,Kiswahili
hii ni njia mojawapo ya kuwapa motisha wananchi pamoja na walio katika kipaumbele kupokea chanjo hiyo,Kiswahili
muungano huo wa wiper kanu na anc wamesema kuwa wataandaa mkutano wao baada ya virusi vya korona kupungua humu nchini,Kiswahili
wamesema kuwa wanaunga mkono mageuzi ya sheria kupitia kwa bbi maneno yaliyosemwa na moses wetangula,Kiswahili
mwenyekiti wa kanu gideon moi amesema kuwa nia yao ni kuona kuwa siasa za kikabila zinamalizwa jambo lililoungwa mkono na musalia mudavadi,Kiswahili
kiongozi wa anc amepiga jinsi seneta wa kakamega cleophas malala alivyongatuliwa mamlakani kama kiongozi wa wachache bungeni akisema kuwa chama cha odm kinadharau vyama tanzu vya nasa,Kiswahili
wakimbizi katika kambi za daadab na kakuma wameiomba serikali kuangalia tena mpango wao wa kuwarudisha makwao,Kiswahili
viongozi wanaotoka maeneo ya kaskazini mashariki mwa kenya wamesema kuwa serikali inafaa ijadiliane na wakimbizi hao badala ya kuwafukuza,Kiswahili
viongozi tofauti tofauti pia wameunga mkono wazo hilo,Kiswahili
seneta moses wetangula amesema kuwa wakimbizi ni watu waliokimbia maafa kwao hivyo basi kuwarejesha kwao ni kawarudisha katika shida zaidi,Kiswahili
utafiti huo pia umebaini kuwa mimba za kutopangwa zimerudi nyuma kwa asilimia thelathini na nane kutoka arubaini na mbili mwaka wa elfu mbili kumi na nne,Kiswahili
profesa peter gichangi ambaye anasimamia utafiti huo alisema wanawake wengi hupanga uzazi kwa njia ya kuweka vifaa kwenye miili yao almaarufu implants,Kiswahili
gavana wa kaunti ya kisumu ameambiwa ajitokeze waziwazi na aombe msamaha na fida,Kiswahili
mawakili wa fida wamemwambia aombe msamaha kutokana na kitendo cha maafisa wa kaunti ya kisumu kumvuta mchuuzi mmoja wa kike barabrani mjini kisumu,Kiswahili
muungano wamawakili wa kike sehemu ya kisumu wamesema kuwa kitendo hicho hakifai na kinafaa kushtumiwa vikali na hatua kali kuchukuliwa,Kiswahili
wamesema kuwa wana mpango wa kuhakikisha kuwa maafisa hao watashikwa na kupelekwa kortini,Kiswahili
fida imeiambia uongozi wa kaunti ya kisumu kuwafunza maaskari hao wa kaunti bali siyo kuwachukua tu watu ovyo ovyo hadi walio na tabia hasi,Kiswahili
kwa upande wake naibu wa gavana wa kisumu matthews owili amesema kuwasheria itafuatwa kuhusiana na maafisa hao ambao tayari wamesimamishwa kazi,Kiswahili
moto umeteketeza boma za familia nane katika kijiji cha kasino kule molo kwenye kaunti ya nakuru,Kiswahili
kilichosababisha moto hadi sasa bado hakijabainika,Kiswahili
moto huo ulianza katika chumba kimoja cha mbao kabla ya kusambaa na kuchoma nyumba za karibu,Kiswahili
wale ambao nyumba zao ziliteketea wanalilia hasara kubwa,Kiswahili
walioenda kusaidia katika kuuzima moto huo walipora mali ya familia hizo,Kiswahili
wanakijiji hicho wanaiomba serikali kuwanunulia gari la kusaidia katika kuzima moto,Kiswahili
mtu mmoja amepoteza maisha yake katika barabara ya voi kuelekea mombasa,Kiswahili
mtu huyo alikua akiendeshapikipiki kuelekea mombasa alipogonga gari aina la toyota ambalo liliegeshwa kando ya barabara,Kiswahili
mkuu wa polisi eneo la kinango fredrick ombaka alitoa ripoti hiyo,Kiswahili
alisema kuwa mwendazake huyo alipata majeraha mabaya sana kwenye kichwa chake kitu kilichomuua,Kiswahili
mwili wake tayari umepelekwa katika chumba cha kuhifadhi maiti,Kiswahili
kamishna wa polisi eneo la bonde la ufa natembeya amesema kuwa tayari ameweka mikakati ya kuhakikisha kuwa silaha zinazomilikiwa na raia zinachukuliwa,Kiswahili
amewaambia raia katika eneo la transmara kutafuta njia za kutatua tofauti zao bali siyo uvamizi wa mara kwa mara,Kiswahili
hata hivyo amesema kuwa amani imeanza kurejea sehemu hiyo,Kiswahili
serikali imeshauriwa kujenga chuo kikuu kwa wale walio na ulemavu wa kusikia,Kiswahili
muungano wa walemavu wa kutosikia wamesema kuwa kenya haina hata chuo kikuu kimoja cha viziwi huku kukiwa na shule kadhaa za sekondari za viziwi ambazo hutoa wanafunzi wanaokwenda katika vyuo vikuu,Kiswahili
akizungumza katika mkutano wao wa kila mwaka mwenyekiti wa viziwi francis nganga ameikashifu serikali kuu kwa kuwatelekeza,Kiswahili
kwa upande mwingine amewaomba wazazi kuenda katika mafunzo ya jinsi ya kuwasiliana na wanao kwa ishara,Kiswahili
bwana nganga ameeleza mpango wa kujenga kliniki kwa viziwi akiomba wahisani kuwasidia kutekeleza mpango huo,Kiswahili
wananchi wa kenya wameshauriwa kupanda miti,Kiswahili
daktari chriss kiptoo ambaye ni katibu mkuu wa mazingira amesema kuwa hilo litahakikisha kuwa kenya inakuwa na asilimia kumi ya msitu kama serikali kuu inavyotaka,Kiswahili
akizungumza kule eldoret bwana kiptoo amelalamikia idadi ndogo ya miti iliyo humu nchini,Kiswahili
amesema kuwa miti bilioni mbili inafaa kupandwa kama hatua ya kuhakikisha kuwa kenya inakuwa na miti ya kutosha,Kiswahili
wahubiri kutoka maeneo ya nyanza waeiomba serikali kuwazingatia katika hatua ya kwanza kupokea chanjo za korona,Kiswahili
wahubiri hao wamesema kuwa wanatangamana na watu wengi hivyo basi ni vyema kupokea chanjo hiyo katika awamu ya kwanza,Kiswahili
mhubiri ondiek akizungumza maeneo ya alego usonga alisema kuwa wananchi wanapaswa kufuata sheria za kujikinga dhidi ya korona,Kiswahili
mhubiri mkuu ogwire ameomba uponyaji wa haraka kwa raila odinga ambaye alipatwa na ugonjwa huo,Kiswahili
muungano wa walimu knut umesema kuwa itarekebisha maelewano mabovu yaliyo kati yale na chama cha kuajiri walimu cha tsc,Kiswahili
bwana hesbon otieno ambaye ni naibu wakatibu amesema kuwa wanafunzi wameona magumu kutokana na mvutano huo,Kiswahili
hii ni katika kuhakikisha kuwa knut itawachagua viongozi wanaoweza kuboresha maelewano kati yake na tume ya kuajiri walimu,Kiswahili
alisema haya katika shule ya bondo township katika uchaguzi wa viongozi wa knut sehemu hiyo,Kiswahili
mwenyekiti wa knut collins oyuu amesema kuwa muungano huo bado uko tisti kwa vile ina wanachama wengi,Kiswahili
walimu wa chama cha kuppet katika eneo la migori wamelalamikia kuteswa na wanasiasa wameneo hayo,Kiswahili
wanasema kuwa wanasiasa wamekuwa wakivamia shule za huko na kuwatimua walimu ambao hawapendi,Kiswahili
amesema kuwa serikali inafaa kuingilia kati ili walimu wawe na mazingira safi ya kufanya kazi,Kiswahili
amezungumza wakati ambapo walimu wanalalamikia mateso katika eneo la suna magharibi,Kiswahili
aliendelea kuwasihi raia wa kenya kujitokeza ili wapate chanjo dhidi ya virusi vya korona,Kiswahili
akizungumza na kituo fulani cha habari ruto alisema kuwa licha ya kuwa viongozi serikalini hawajapata chanjo hiyo ilikuwa ni makubaliano bungeni kuwa maafisa wa serikalo walimu pamoja na wale walio katika hatua ya mbele wapate chanjo hiyo,Kiswahili
amesema kuwa muda ufaao ukifika ataenda kupokea chanjo hiyo ambayo amesema ni salama na itawasaidia sana wananchi,Kiswahili
wakati huo huo ruto amewakashufu sana baadhi ya viongozi ambao wana mpango wa kutengeneza muungano wa vyama vya kikabila,Kiswahili
koloso enyim kamiti mar chike kod ratiro eod bura mar senate kawuono tuju owacho ni kal mar lokruok mag chike ogogo biro konyo mokalo etieko moko kuom chandruoge turi ma kenya osebedo godo kuom higni mathoth,Luo
tuju owacho ni mosruok mane obedo ekind ker uhuru kenyata kod ogai mar odm raila odinga mane ochwe okelo chuok mar bbi osekonyo mokalo ekelo kwe pachoka moloyo bang koko mane obedo pachoka bang yiero,Luo
chike pachoka ogwenyore mokalo kod dwaro mar chik ni kendo jokenya ne ok oriw pachgi ewi chenrono kane pod ok ochake,Luo
ochiwo pache enyim kamiti mar chike kod ratiro eod bura mamalo kawuono,Luo
